taxi_type,month_start,total_co2_kg
GREEN,2015-08-01,1608613.863499997
GREEN,2015-09-01,1552098.6985000032
GREEN,2015-10-01,1632502.4100000039
GREEN,2015-11-01,1526188.3455000052
GREEN,2015-12-01,1593342.8770000096
GREEN,2016-01-01,1393221.5395000188
GREEN,2016-02-01,1444042.235999999
GREEN,2016-03-01,1540825.8145000138
GREEN,2016-04-01,1531273.793000037
GREEN,2016-05-01,1561472.7310000048
GREEN,2016-06-01,1415040.7635000139
GREEN,2016-07-01,1355149.9745000124
GREEN,2016-08-01,1265658.9540000043
GREEN,2016-09-01,1151763.3960000123
GREEN,2016-10-01,1215030.540500009
GREEN,2016-11-01,1070294.1655000045
GREEN,2016-12-01,1121385.2475000105
GREEN,2017-01-01,961603.8320000137
GREEN,2017-02-01,928806.8860000088
GREEN,2017-03-01,1035576.2865000186
GREEN,2017-04-01,1007610.3485000187
GREEN,2017-05-01,989145.4370000078
GREEN,2017-06-01,924574.0560000141
GREEN,2017-07-01,889035.0245000094
GREEN,2017-08-01,846460.3035000099
GREEN,2017-09-01,874184.2900000082
GREEN,2017-10-01,893579.627500012
GREEN,2017-11-01,824914.2545000063
GREEN,2017-12-01,848797.649000012
GREEN,2018-01-01,739291.577500013
GREEN,2018-02-01,732927.1425000117
GREEN,2018-03-01,857649.3555000133
GREEN,2018-04-01,863082.1360000138
GREEN,2018-05-01,896886.1650000063
GREEN,2018-06-01,851076.768500003
GREEN,2018-07-01,789780.2500000027
GREEN,2018-08-01,787615.2620000073
GREEN,2018-09-01,800132.4345000065
GREEN,2018-10-01,857201.0335000079
GREEN,2018-11-01,791871.5875000065
GREEN,2018-12-01,822930.4335000028
GREEN,2019-01-01,757660.3020000024
GREEN,2019-02-01,703231.1825000091
GREEN,2019-03-01,725098.1884999983
GREEN,2019-04-01,538383.1390000054
GREEN,2019-05-01,524978.7480000091
GREEN,2019-06-01,490356.1320000026
GREEN,2019-07-01,438144.2485000015
GREEN,2019-08-01,397135.1125000033
GREEN,2019-09-01,380270.01600000204
GREEN,2019-10-01,362705.899500004
GREEN,2019-11-01,337235.2340000033
GREEN,2019-12-01,328540.89800000464
GREEN,2020-01-01,300586.1880000037
GREEN,2020-02-01,288581.3595000042
GREEN,2020-03-01,165904.18600000284
GREEN,2020-04-01,29324.098999999864
GREEN,2020-05-01,36035.037500000006
GREEN,2020-06-01,44193.77900000005
GREEN,2020-07-01,49204.29849999996
GREEN,2020-08-01,54977.34549999989
GREEN,2020-09-01,54504.43599999983
GREEN,2020-10-01,57355.78450000028
GREEN,2020-11-01,53702.239499999916
GREEN,2020-12-01,53938.81149999991
GREEN,2021-01-01,47494.41199999995
GREEN,2021-02-01,43195.26749999937
GREEN,2021-03-01,52750.51249999988
GREEN,2021-04-01,56045.16749999967
GREEN,2021-05-01,60208.1374999999
GREEN,2021-06-01,63863.60049999948
GREEN,2021-07-01,62428.04050000021
GREEN,2021-08-01,63920.13600000016
GREEN,2021-09-01,81167.06150000014
GREEN,2021-10-01,89376.2380000002
GREEN,2021-11-01,90442.55500000047
GREEN,2021-12-01,91840.1225000002
GREEN,2022-01-01,51722.401499999905
GREEN,2022-02-01,57972.26750000006
GREEN,2022-03-01,67956.86099999977
GREEN,2022-04-01,66868.97349999979
GREEN,2022-05-01,67304.87049999971
GREEN,2022-06-01,65547.64299999969
GREEN,2022-07-01,60007.11150000008
GREEN,2022-08-01,63610.22149999981
GREEN,2022-09-01,66505.75750000043
GREEN,2022-10-01,63000.90649999998
GREEN,2022-11-01,55418.45399999973
GREEN,2022-12-01,63361.81250000036
GREEN,2023-01-01,56823.77400000042
GREEN,2023-02-01,54151.065500000426
GREEN,2023-03-01,61021.901500000036
GREEN,2023-04-01,57217.97900000029
GREEN,2023-05-01,61349.5645000002
GREEN,2023-06-01,59466.16899999978
GREEN,2023-07-01,56619.20249999974
GREEN,2023-08-01,58759.133999999845
GREEN,2023-09-01,64809.08349999992
GREEN,2023-10-01,58670.8814999996
GREEN,2023-11-01,55328.1015000002
GREEN,2023-12-01,54962.852000000465
GREEN,2024-01-01,45478.29299999953
GREEN,2024-02-01,44270.680999999924
GREEN,2024-03-01,49108.46849999977
GREEN,2024-04-01,49034.35599999996
GREEN,2024-05-01,55998.77149999967
GREEN,2024-06-01,51498.06900000021
GREEN,2024-07-01,49150.5980000002
GREEN,2024-08-01,53022.11600000016
GREEN,2024-09-01,55661.13349999971
GREEN,2024-10-01,53524.19100000009
GREEN,2024-11-01,46634.04899999992
GREEN,2024-12-01,46525.36349999964
